English,Russian
company,Компания
each,каждый
percent,процент
hear,слышать
so,так
during,в течение
question,вопрос
right,Правильно
program,программа
work,Работа
run,бежать
number,количество
small,маленький
government,правительство
play,играть в
off,выключенный
move,шаг
like,как
always,всегда
night,ночь
believe,полагать
today,Cегодня
hold,держать
point,точка
live,жить
happen,случаться
bring,приносить
next,следующий
without,без
before,до
large,большой
must,должен
all,все
war,война
home,дом
under,под
room,номер
fact,факт
area,область
national,национальный
write,записывать
money,Деньги
right,Правильно
story,история
water,вода
mother,мать
different,другой
young,молодой
month,месяц
lot,много
book,книга
eye,глаз
study,исследование
job,работа
kind,Добрый
word,слово
issue,проблема
side,сторона
four,четыре
business,бизнес
though,хотя
head,глава
far,далеко
long,длинная
black,черный
million,миллион
both,оба
little,маленький
yes,да
after,после
since,поскольку
around,около
long,длинная
provide,предоставлять
service,оказание услуг
important,важный
sit,сидеть
away,прочь
friend,друг
however,Однако
power,сила
no,нет
yet,пока что
father,отец
hour,час
often,довольно часто
until,до того как
political,политический
line,линия
end,конец
stand,стоять
among,среди
game,игра
ever,Когда-либо
lose,терять
bad,Плохо
member,член
meet,встретиться
pay,платить
law,закон
almost,почти
car,автомобиль
later,потом
much,много
name,имя
include,включают
five,пять
center,центр
once,однажды
university,Университет
continue,Продолжать
least,наименее
real,настоящий
white,белый
change,сдача
set,установлен
several,несколько
ago,назад
information,Информация
nothing,ничего такого
community,сообщество
best,Лучший
right,Правильно
idea,идея
lead,привести
body,тело
learn,учиться
kid,ребенок
minute,минута
table,стол
whether,будь то
understand,понять
team,команда
back,назад
watch,смотреть
together,вместе
follow,следить
around,около
only,Только
stop,остановка
face,лицо
anything,что-либо
public,публичный
social,Социальное
already,уже
parent,родительский
speak,говорить
create,Создайте
office,офис
allow,разрешать
level,уровень
read,читать
spend,проводить
person,человек
door,дверь
sure,Конечно
add,добавлять
street,улица
such,такой
history,история
party,партия
grow,расти
reason,причина
morning,утро
open,открытым
within,в пределах
change,сдача
although,несмотря на то что
walk,ходить
news,Новости
health,здоровье
court,корт
force,сила
early,рано
himself,сам
air,воздуха
low,низкий
before,до
art,искусство
result,результат
moment,мгновенный
offer,предложение
both,оба
remember,запомнить
research,исследовательская работа
enough,достаточно
girl,девочка
boy,мальчик
win,победить
food,еда
across,через
guy,парень
second,второй
able,способный
toward,к
maybe,может быть
process,процесс
off,выключенный
everything,все
appear,появляться
age,возраст
policy,политика
consider,рассмотреть возможность
including,включая
probably,вероятно
education,образование
love,любовь
actually,фактически
buy,купить
wait,ждать
die,умереть
human,человек
send,Отправить
fee,платеж
expect,ожидать
serve,обслуживать
sense,смысл
teacher,учитель
home,дом
market,рынок
stay,остаться
build,строить
nation,нация
fall,падение
oh,ой
death,смерть
plan,план
interest,интерес
someone,кто то
experience,опыт
cut,резать
kill,убийство
behind,позади
reach,достигать
six,шесть
local,местный
remain,оставаться
effect,эффект
suggest,предложить
use,использовать
control,контроль
perhaps,возможно
raise,поднимать
class,учебный класс
late,поздно
little,маленький
major,главный
yeah,Да
else,еще
pass,проходить
photo,Фото
sell,продавать
themselves,сами себя
field,поле
college,колледж
sometimes,иногда
former,бывший
development,разработка
require,требовать
along,вместе
decide,решать
security,безопасность
up,вверх
possible,возможный
effort,усилие
role,роль
better,лучше
rate,оценивать
strong,сильный
music,Музыка
report,отчет
leader,лидер
light,легкий
whole,весь
voice,голос
color,цвет
heart,сердце
care,забота
police,полиция
economic,экономический
wife,жена
show,показывать
mind,разум
report,отчет
finally,в конце концов
drug,лекарство
less,меньше
return,возвращаться
according,в соответствии
pull,тянуть
decision,решение
explain,объяснять
carry,нести
develop,развивать
view,Посмотреть
free,свободно
hope,надеяться
even,даже
drive,водить машину
son,сын
arm,рука
department,отделение
TRUE,ПРАВДА
price,цена
military,военный
federal,федеральный
break,ломать
action,действие
value,ценность
thank,благодарить
relationship,отношение
town,городок
better,лучше
building,строительство
receive,Получать
society,общество
difference,разница
church,церковь
full,полный
join,присоединиться
road,Дорога
because,потому что
international,Международный
model,модель
position,должность
tax,налога
director,директор
early,рано
agree,соглашаться
matter,иметь значение
especially,особенно
form,форма
record,записывать
special,специальный
ground,земля
whose,чья
hard,жесткий
pick,выбирать
paper,бумага
official,чиновник
season,время года
wear,носить
event,мероприятие
support,поддерживать
space,пространство
player,игрок
everyone,каждый
couple,пара
end,конец
base,база
project,проект
produce,производить
site,сайт
situation,ситуация
hit,хит
industry,промышленность
half,половина
activity,Мероприятия
American,Американец
eat,есть
itself,сам
need,необходимость
figure,фигура
cost,Стоимость
easy,легкий
quite,довольно
face,лицо
picture,картина
clear,Чисто
cover,покрытие
describe,описывать
image,изображение
teach,учить
wall,стена
doctor,доктор
recent,недавний
product,товар
data,данные
practice,упражняться
phone,Телефон
piece,кусок
certain,определенный
either,либо
oil,масло
simply,просто
test,тест
personal,личный
star,звезда
land,земельные участки
third,в третьих
general,Генеральная
computer,компьютерный
movie,кино
worker,работник
open,открытым
catch,ловить
type,тип
support,поддерживать
north,к северу
love,любовь
step,шаг
attention,внимание
technology,технологии
organization,организация
baby,малыш
source,источник
draw,рисовать
cause,причина
tree,дерево
film,фильм
choose,выбирать
evidence,доказательство
Republican,Республиканец
difficult,сложно
century,век
nearly,Около
red,красный
look,Смотреть
point,точка
window,окно
park,парк
period,период
culture,культура
hair,волосы
listen,Слушать
chance,шанс
less,меньше
available,доступный
brother,брат
summer,лето
realize,понимать
private,частный
no,нет
science,наука
letter,письмо
congress,Конгресс
condition,условие
short,короткая
likely,вероятно
opportunity,возможность
rule,правило
choice,выбор
single,не замужем
place,место
patient,пациент
floor,пол
term,срок
material,материал
mile,миля
administration,администрация
well,Что ж
course,курс
defense,защита
plant,завод
energy,энергия
campaign,кампания
population,Население
fire,Огонь
close,Закрыть
daughter,дочь
involve,вовлекать
husband,муж
wrong,неправильный
certainly,безусловно
increase,увеличивать
future,будущее
south,юг
medical,медицинский
call,вызов
board,доска
anyone,кто угодно
deal,иметь дело
hospital,больница
rest,отдыхать
seek,стремиться
myself,сам
county,округ
fight,Борьба
subject,предмет
risk,риск
order,заказ
west,западный
economy,экономика
quickly,быстро
throw,бросать
bed,кровать
officer,офицер
represent,представлять
soon,скоро
top,Топ
fill,наполнять
author,автор
past,мимо
upon,на
goal,Цель
behavior,поведение
drop,уронить
nature,природа
agency,агентство
plan,план
recently,совсем недавно
second,второй
store,хранить
foreign,иностранный
current,Текущий
performance,производительность
bank,банк
sound,звук
push,толкать
focus,фокус
reduce,уменьшать
note,примечание
before,до
fine,отлично
near,около
than,чем
movement,движение
common,общий
other,Другой
billion,миллиард
blood,кровь
page,страница
concern,беспокойство
poor,бедный
enter,войти
share,Поделиться
each,каждый
series,серии
usually,обычно
natural,естественный
hot,горячий
race,гонка
language,язык
river,река
dead,мертвых
act,действовать
significant,значительный
no,нет
response,отклик
rise,подниматься
decade,десятилетие
article,статья
thus,таким образом
seven,Семь
shoot,стрелять
east,восток
animal,животное
away,прочь
similar,похожий
save,спасти
factor,фактор
central,центральный
occur,происходить
committee,комитет
serious,серьезный
sport,спорт
lie,ложь
beyond,вне
exactly,в яблочко
despite,несмотря на
happy,счастливый
eight,восемь
protect,защищать
list,список
size,размер
quality,качественный
pressure,давление
accept,принимать
ready,готовы
approach,подход
sign,знак
attack,атака
individual,индивидуальный
career,карьера
answer,отвечать
dog,собака
media,СМИ
thought,мысль
whatever,что бы ни
determine,определять
television,телевидение
meeting,встреча
scene,сцена
success,успех
prepare,подготовить
identify,идентифицировать
press,Нажмите
particularly,особенно
resource,ресурс
amount,количество
argue,спорить
recognize,распознавать
treatment,лечение
left,оставил
degree,степень
stock,запас
indicate,указывать
growth,рост
simple,просто
ability,способность
dollar,доллар
union,союз
disease,болезнь
everybody,все
wonder,удивляться
election,выборы
loss,потеря
box,коробка
deal,иметь дело
herself,саму себя
fund,фонд
miss,скучать
pretty,Симпатичная
region,"область, край"
feeling,чувство
lay,класть
training,подготовка
message,сообщение
arrive,прибыть
standard,стандартный
outside,вне
fail,потерпеть неудачу
trade,торговля
staff,сотрудники
benefit,выгода
character,персонаж
army,армия
association,ассоциация
operation,операция
present,подарок
crime,преступление
name,имя
cup,чашка
island,остров
analysis,анализ
check,Проверьте
answer,отвечать
photograph,фотография
glass,стакан
forward,вперед
authority,орган власти
earth,земной шар
stage,сцена
one,один
act,действовать
sort,Сортировать
station,станция
clearly,четко
little,маленький
compare,сравнивать
indeed,верно
public,публичный
knowledge,знания
state,государство
blue,синий
example,пример
strategy,стратегия
mountain,гора
guess,предполагать
sister,сестра
force,сила
gun,пистолет
various,различный
laugh,смех
environment,Окружающая среда
design,дизайн
sun,солнце
lawyer,юрист
sex,секс
rather,скорее
artist,художник
club,клуб
prove,доказывать
section,раздел
skill,навык
truth,правда
set,установлен
ok,Ok
manager,управляющий делами
executive,должностное лицо
district,округ
claim,требовать
forget,забывать
hang,вешать
entire,весь
leg,нога
enough,достаточно
design,дизайн
close,Закрыть
study,исследование
since,поскольку
environmental,относящийся к окружающей среде
establish,учреждать
democratic,демократический
remove,удалять
main,главный
professor,профессор
financial,Финансовый
enjoy,наслаждаться
network,сеть
sound,звук
discuss,обсуждать
form,форма
final,финал
trial,пробный
legal,юридический
help,помощь
cold,холодно
above,выше
rock,рок
that,что
seat,сиденье
weapon,оружие
song,песня
expert,эксперт
radio,радио
nice,отлично
avoid,избегать
memory,Память
management,управление
charge,обвинение
spring,весна
card,открытка
maintain,поддерживать
theory,теория
care,забота
visit,посещать
imagine,представить
finish,финиш
statement,утверждение
firm,твердый
huge,огромный
respond,реагировать
popular,популярный
hard,жесткий
physical,физический
talk,разговаривать
traditional,традиционный
contain,содержать
peace,мир
green,зеленый
thanks,Благодарность
control,контроль
Democrat,Демократ
base,база
impact,влияние
structure,структура
tonight,сегодня ночью
note,примечание
direction,направление
fly,летать
onto,на
king,король
reveal,показывать
cell,клетка
religious,религиозный
ball,мяч
particular,конкретный
employee,работник
head,глава
suddenly,"вдруг, внезапно"
apply,подать заявление
shake,встряхнуть
cultural,культурный
chair,стул
PM,ВЕЧЕРА
justice,справедливость
discover,обнаружить
measure,мера
politics,политика
manage,управлять
treat,удовольствие
yourself,самим собой
pain,боль
evening,вечер
rather,скорее
unit,Ед. изм
affect,оказывать воздействие
play,играть в
production,производство
bit,кусочек
inside,внутри
far,далеко
range,диапазон
top,Топ
worry,волноваться
perform,выполнять
necessary,необходимый
conference,конференция
individual,индивидуальный
candidate,кандидат
museum,музей
specific,специфический
best,Лучший
throughout,через
hall,зал
past,мимо
fish,рыбы
trip,путешествие
mention,упомянуть
edge,край
trouble,беда
interview,интервью
style,стиль
middle,середина
cause,причина
ten,10
weight,масса
adult,взрослый
dream,мечтать
fear,страх
dark,темный
sign,знак
method,метод
somebody,кто-то
magazine,журнал
reflect,отражать
heavy,тяжелый
soldier,солдат
property,имущество
beautiful,красивая
writer,писатель
stuff,вещи
camera,камера
improve,улучшать
shoulder,плечо
bar,бар
hotel,отель
instead,вместо
hill,холм
exist,существует
sea,море
institution,учреждение
purpose,цель
pattern,шаблон
detail,деталь
machine,машина
challenge,вызов
owner,владелец
agent,агент
tough,жесткий
ahead,предстоящий
generation,поколение
commercial,коммерческий
whom,кого
fall,падение
down,вниз
surface,поверхность
budget,бюджет
senator,сенатор
bag,сумка
reality,реальность
editor,редактор
tend,иметь тенденцию
address,адрес
civil,гражданский
step,шаг
discussion,дискуссия
test,тест
mom,Мама
violence,насилие
total,общий
skin,кожа
heat,нагревать
council,Совет
notice,уведомление
beat,бить
nor,ни
modern,современный
vote,голосование
sing,петь
cancer,рак
finger,Палец
lake,озеро
wish,желание
marriage,свадьба
victim,потерпевший
task,задача
yard,площадка
kitchen,кухня
item,вещь
responsibility,обязанность
mouth,рот
agreement,соглашение
attorney,адвокат
capital,столица
threat,угроза
smile,улыбка
gas,газ
instead,вместо
positive,положительный
track,отслеживать
investment,инвестиции
account,учетная запись
break,ломать
rich,богатый
citizen,гражданин
audience,аудитория
lady,леди
dinner,обед
western,западный
debate,дебаты
consumer,потребитель
majority,большинство
interesting,интересно
prevent,предотвращать
travel,путешествовать
born,Родился
relate,относятся
assume,предполагать
none,никто
admit,признавать
front,фронт
figure,фигура
coach,тренер
partner,партнер
shot,выстрелил
scientist,ученый
senior,старший
suffer,страдать
alone,один
collection,коллекция
successful,успешный
speech,речь
eventually,в итоге
key,ключ
mission,миссия
score,счет
newspaper,газета
wind,ветер
reform,реформа
concerned,обеспокоенный
professional,профессионал
relation,связь
troops,войска
garden,сад
access,доступ
publish,публиковать
recall,отзывать
Soviet,Советский
cost,Стоимость
southern,южный
senate,Сенат
opinion,мнение
option,вариант
judge,судить
original,оригинал
customer,покупатель
critical,критический
corner,угол
basic,базовый
income,доход
directly,напрямую
own,собственный
release,выпускать
restaurant,ресторан
neighborhood,район
effective,эффективная
labor,"труд, работа"
nobody,никто
stare,глазеть
immediately,немедленно
achieve,достигать
forest,лес
dad,папа
hurt,повредить
video,видео
strike,забастовка
safety,безопасность
absolutely,абсолютно
therefore,следовательно
freedom,свобода
version,версия
like,как
plane,самолет
attitude,отношение
sexual,сексуальный
refer,ссылаться
fresh,свежий
involved,вовлеченный
powerful,мощный
bird,птица
touch,трогать
variety,разнообразие
deep,глубокий
text,текст
wide,широкий
credit,кредит
nine,девять
sleep,спать
investigation,изучение
hope,надеяться
announce,объявить
by,по
completely,полностью
vote,голосование
conduct,руководить
conflict,конфликт
replace,заменять
attend,посещать
participant,Участник
argument,аргумент
object,объект
please,пожалуйста
nuclear,ядерный
sky,небо
along,вместе
afternoon,после полудня
hundred,сотня
encourage,поощрять
perfect,идеально
possibility,возможность
turn,повернуть
British,Британский
once,однажды
examine,исследовать
conversation,беседа
generally,в общем
beginning,начало
secretary,секретарь
experience,опыт
beach,пляж
safe,Безопасно
spirit,дух
weekend,выходные дни
date,свидание
define,определять
feature,особенность
global,Глобальный
very,очень
element,элемент
attempt,пытаться
slowly,медленно
governor,губернатор
through,через
concept,концепция
sorry,Извините
easily,без труда
battle,боевой
league,лига
camp,лагерь
introduce,вводить
status,статус
insurance,страхование
complete,полный
stick,палка
solution,решение
web,веб -
vision,зрение
stone,камень
lack,недостаток
driver,Водитель
normal,обычный
truck,грузовая машина
minister,министр
handle,справиться
hole,отверстие
front,фронт
fan,поклонник
spot,место
crisis,кризис
supposed,предполагаемый
refuse,мусор
drink,напиток
researcher,Исследователь
tradition,традиция
communication,коммуникация
distance,расстояние
ship,судно
gain,прирост
express,выражать
independent,независимый
ice,лед
scale,шкала
brain,мозг
winter,зима
commission,комиссия
wood,древесина
increase,увеличивать
return,возвращаться
division,разделение
species,разновидность
AM,ЯВЛЯЮСЬ
roll,рулон
hide,Спрятать
middle,середина
client,клиент
resident,житель
contract,договор
gold,золото
future,будущее
potential,потенциал
presence,присутствие
institute,институт
screen,экран
run,бежать
Chinese,китайский язык
horse,лошадь
European,Европейский
target,цель
willing,готовый
survey,опрос
interested,заинтересован
chief,главный
crowd,толпа
prison,тюрьма
terms,условия
obviously,очевидно
basis,основа
apartment,квартира
farm,ферма
flight,полет
shape,форма
demand,требование
strength,прочность
village,деревня
operate,работать
reporter,репортер
share,Поделиться
guard,сторожить
observe,наблюдать
deliver,доставлять
count,считать
inside,внутри
advantage,преимущество
wild,дикий
previous,предыдущий
average,средний
emerge,появляться
contribute,делать вклад
leadership,лидерство
boat,лодка
facility,средство
present,подарок
earn,зарабатывать
highly,очень
vehicle,средство передвижения
pound,фунт
tiny,крошечный
understanding,понимание
settle,решить
unless,пока не
tomorrow,завтра
foundation,Фонд
quick,быстрый
block,блокировать
light,легкий
reader,читатель
collect,собирать
guest,гость
living,жизнь
tool,инструмент
protection,защита
fair,справедливый
additional,дополнительный
promote,продвигать
equipment,оборудование
mostly,в основном
order,заказ
painting,картина
feed,подача
principle,принцип
bowl,чаша
claim,требовать
technique,техника
limit,предел
identity,личность
title,заглавие
critic,критик
survive,выживать
cry,плакать
border,граница
lift,поднимать
path,дорожка
aspect,аспект
marry,жениться
shop,магазин
failure,отказ
ride,поездка
responsible,ответственный
gather,собирать
jump,Прыжок
sample,образец
affair,роман
result,результат
worth,стоит
fit,поместиться
chairman,председатель
until,до того как
lesson,урок
Christmas,Рождество
insist,настаивать
anybody,любой
folk,народ
band,группа
ear,ухо
procedure,процедура
associate,ассоциирован
inch,дюйм
warm,тепло
African,Африканский
French,Французский
baseball,бейсбол
demonstrate,продемонстрировать
foot,ступня
Christian,Христианский
approach,подход
competition,конкуренция
measure,мера
afraid,боюсь
spread,распространять
ignore,игнорировать
soft,мягкий
annual,ежегодный
wonderful,замечательно
threaten,угрожать
commit,совершить
deny,отказываться от
intelligence,интеллект
regular,обычный
influence,влияние
general,Генеральная
past,мимо
reaction,реакция
cross,Пересекать
master,мастер
suit,подходить
blow,дуть
destroy,разрушать
gift,подарок
coffee,кофе
anyway,тем не мение
belief,вера
comment,комментарий
apparently,по всей видимости
twice,дважды
background,фон
quarter,четверть
review,обзор
faith,вера
move,шаг
speed,скорость
engage,привлекать
broad,широкий
perspective,перспектива
slightly,немного
growing,растущий
view,Посмотреть
function,функция
construction,строительство
egg,яйцо
charge,обвинение
wave,волна
female,женский
murder,убийство
tape,лента
burn,гореть
means,означает
aware,осведомленный
mistake,ошибка
quiet,тихо
connection,связь
shoe,обувь
clothes,одежда
promise,обещать
religion,религия
complete,полный
united,объединенная
context,контекст
active,активный
focus,фокус
youth,молодежь
location,расположение
neighbor,сосед
dress,платье
Internet,Интернет
category,категория
dangerous,опасный
extend,продлевать
combine,комбинировать
demand,требование
coast,морской берег
relatively,относительно
smile,улыбка
bus,автобус
hey,Привет
chief,главный
following,следующий
depend,зависеть
key,ключ
hell,ад
visit,посещать
bone,кость
cook,готовить пищу
fire,Огонь
direct,непосредственный
native,родной
cool,Круто
cut,резать
remind,напоминать
historical,исторический
moral,моральный
voter,избиратель
appropriate,соответствующий
famous,известный
hire,прокат
victory,Победа
contact,контакт
fully,от корки до корки
negative,отрицательный
medicine,лекарственное средство
participate,принимать участие
grade,оценка
eastern,восточный
supply,поставлять
yesterday,вчерашний день
familiar,привычный
democracy,демократия
pair,пара
drive,водить машину
healthy,здоровый
front,фронт
tie,галстук
birth,рождение
progress,прогресс
damage,наносить ущерб
exchange,обмен
bottom,нижний
daily,повседневная
next,следующий
document,документ
grand,гранд
journal,журнал
knee,колено
primary,начальный
otherwise,в противном случае
train,тренироваться
grab,схватить
circle,круг
lean,худой
wine,вино
minority,меньшинство
flower,цветок
device,устройство
Iraqi,Иракский
plate,пластина
attack,атака
clean,чистый
alive,в живых
actor,актер
hate,ненавидеть
expression,выражение
below,ниже
bright,яркий
press,Нажмите
tour,тур
finding,нахождение
exercise,упражнение
plastic,пластик
danger,Опасность
neck,шея
valley,долина
academic,академический
start,Начало
application,заявление
intend,намереваться
male,мужчина
tall,высокий
shut,закрыть
lots,много
Indian,Индийский
respect,уважать
colleague,коллега
writing,пишу
rain,дождь
fast,быстро
football,футбол
welcome,добро пожаловать
domestic,одомашненный
pool,бассейн
literature,литература
extra,дополнительный
northern,северный
desire,желание
direct,непосредственный
fight,Борьба
corporate,корпоративный
session,сессия
supreme,верховный
studio,студия
Russian,Русский
nod,кивок
learning,обучение
climb,взбираться
importance,значение
somewhere,где-то
expand,расширять
fourth,четвертый
dry,сухой
disappear,пропадать
abuse,злоупотреблять
chicken,курица
obtain,получать
map,карта
carefully,осторожно
close,Закрыть
increasingly,все чаще
greatest,величайший
complex,сложный
metal,металл
lead,привести
above,выше
jury,жюри
sweet,сладкий
proposal,предложение
impossible,невозможно
scientific,научный
ticket,проездной билет
leaf,лист
classroom,школьный класс
surround,окружение
lunch,обед
alone,один
meaning,значение
injury,рана
invite,приглашать
enemy,враг
repeat,повторение
bear,медведь
lip,губа
mayor,мэр
award,премия
attempt,пытаться
commitment,обязательство
consequence,последствие
instruction,инструкция
surprise,Сюрприз
poll,опрос
favorite,любимый
explore,исследовать
predict,предсказывать
adopt,усыновить
sight,зрение
storm,буря
half,половина
assessment,оценка
weather,погода
pocket,карман
aid,помогать
reading,чтение
thin,тонкий
